date,time,DOY,Ta,RH,Rg
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2]
2019-05-03,10:33,123.4395,276.831,32.2819,963.295
2019-05-03,11:03,123.4603,277.327,28.8533,1009.29
2019-05-03,11:33,123.4811,278.035,32.1784,1038.39
2019-05-03,12:03,123.5020,278.485,30.0130,1052.91
2019-05-03,12:33,123.5228,278.567,29.4752,1057.31
2019-05-03,13:03,123.5436,278.930,26.8125,1042.61
2019-05-03,13:33,123.5644,279.448,25.8721,1010.51
2019-05-03,14:03,123.5853,279.722,26.3336,932.818
2019-05-03,14:33,123.6061,280.206,27.3824,935.721
2019-05-03,15:03,123.6269,280.102,27.5269,692.359
2019-05-03,15:33,123.6478,279.714,28.4145,551.794
2019-05-03,16:03,123.6686,279.807,26.9041,455.401
2019-05-03,16:33,123.6894,280.535,26.0702,538.541
2019-05-03,17:03,123.7103,279.922,25.7372,274.780
2019-05-03,17:33,123.7311,279.822,29.0178,245.835
2019-05-03,18:03,123.7519,279.223,30.5167,143.209
2019-05-03,18:33,123.7727,278.724,35.3276,70.2162
2019-05-03,19:03,123.7936,278.038,36.8869,28.3312
2019-05-03,19:33,123.8144,277.176,41.2079,-3.09132
2019-05-03,20:03,123.8352,276.106,45.1473,-5.57881
2019-05-03,20:33,123.8561,275.522,45.4684,-5.25085
2019-05-03,21:03,123.8769,274.944,46.1487,-4.89229
2019-05-03,21:33,123.8977,274.795,44.5210,-4.53036
2019-05-03,22:03,123.9186,274.966,45.9411,-2.98375
2019-05-03,22:33,123.9394,274.417,48.1613,-4.04686
2019-05-03,23:03,123.9602,274.422,47.4745,-3.48573
2019-05-03,23:33,123.9810,274.355,49.2397,-4.67724
2019-05-04,00:03,124.0020,273.582,50.6045,-5.07420
